date,datetime,SACTMIN,SPOSTMIN,weekday,day_name
2017-08-31,2017-08-31 08:53:40,12.0,,4,Thursday
2017-08-31,2017-08-31 09:06:03,71.0,,4,Thursday
2017-09-01,2017-08-31 19:36:53,95.0,,5,Friday
2017-09-01,2017-09-01 09:04:04,99.0,,5,Friday
2017-09-02,2017-09-02 12:21:12,59.0,,6,Saturday
2017-09-02,2017-09-02 19:11:49,96.0,,6,Saturday
2017-09-03,2017-09-03 09:00:02,42.0,,7,Sunday
2017-09-03,2017-09-03 09:02:50,18.0,,7,Sunday
2017-09-03,2017-09-03 15:07:45,134.0,,7,Sunday
2017-09-04,2017-09-04 18:00:07,120.0,,1,Monday
2017-09-05,2017-09-05 09:05:41,124.0,,2,Tuesday
2017-09-05,2017-09-05 09:22:05,140.0,,2,Tuesday
2017-09-05,2017-09-05 18:37:38,157.0,,2,Tuesday
2017-09-06,2017-09-06 08:54:37,51.0,,3,Wednesday
2017-09-06,2017-09-06 17:30:18,153.0,,3,Wednesday
2017-09-07,2017-09-07 09:51:13,118.0,,4,Thursday
2017-09-07,2017-09-07 16:16:58,106.0,,4,Thursday
2017-09-08,2017-09-08 11:47:11,56.0,,5,Friday
2017-09-09,2017-09-09 08:02:30,4.0,,6,Saturday
2017-09-09,2017-09-09 08:08:29,22.0,,6,Saturday
2017-09-09,2017-09-09 08:14:58,41.0,,6,Saturday
2017-09-09,2017-09-09 08:57:10,49.0,,6,Saturday
2017-09-09,2017-09-09 09:02:51,57.0,,6,Saturday
2017-09-09,2017-09-09 11:40:06,44.0,,6,Saturday
2017-09-09,2017-09-09 12:44:07,79.0,,6,Saturday
2017-09-09,2017-09-09 12:51:00,75.0,,6,Saturday
2017-09-09,2017-09-09 13:10:17,81.0,,6,Saturday
2017-09-09,2017-09-09 14:12:50,86.0,,6,Saturday
2017-09-09,2017-09-09 18:00:13,35.0,,6,Saturday
2017-09-09,2017-09-09 18:51:19,15.0,,6,Saturday
2017-09-12,2017-09-12 17:18:03,55.0,,2,Tuesday
2017-09-12,2017-09-12 18:19:21,63.0,,2,Tuesday
2017-09-13,2017-09-13 09:27:01,62.0,,3,Wednesday
2017-09-13,2017-09-13 09:27:13,70.0,,3,Wednesday
2017-09-13,2017-09-13 09:27:34,58.0,,3,Wednesday
